event_id,draw_date,stream,prior_draw_date,prior_result_used_as_seed,seed,base4,seed_core,actual_core,last1_aabc_core,last2_aabc_core,last3_aabc_core,target_core,config,evidence_score,rule_count,max_precision,max_lift,total_support,total_target_hits,final_stream_core_score,has_rule_evidence,matrix_rank_in_stream,daily_opportunity_rank,stream_core_rank_by_deep_score,HISTORY_THROUGH,PLAY_DATE,core_score,full_core_rank,daily_opportunity_rank_num,is_watched8_core,watched8_rank,prior_seed_core,last1_norm,prior_seed_core_for_transition,global_prevcore_to_core_count,stream_prevcore_to_core_count,stream_core_hit_count,lane_top4_normal,lane_watched8_transition,lane_watched8_buried,lane_stream_affinity,trap_keep,trap_lane,trap_lane_weight,trap_priority_score
70,2026-06-18,"Tri-State (ME, NH & VT) | Pick 4 Evening",2026-06-17,3605,3605,,,,039,079,456,027,ALL_BALANCED,62.690560837981764,19.0,1.0,1.9704,373.0,276.0,62.690560837981764,True,1,4,1,2026-06-17,2026-06-18,62.690560837981764,1,4,True,1,,039,,0,0,4,True,False,False,True,True,STREAM_AFFINITY,4,523.8916962932936
4,2026-06-18,Atlantic Canada | Lotto 4,2026-06-17,2806,2806,,,,134,346,024,027,ALL_BALANCED,42.31225353251037,14.0,0.8182,1.6364,223.0,165.0,42.31225353251037,True,2,26,2,2026-06-17,2026-06-18,42.31225353251037,2,26,True,1,,134,,0,0,11,True,False,False,True,True,STREAM_AFFINITY,4,520.2092887363787
61,2026-06-18,South Carolina | Pick 4 Midday,2026-06-17,5352,5352,,235,,235,057,046,679,ALL_BALANCED,38.40202378635559,12.0,0.9,1.7745,189.0,144.0,38.40202378635559,True,1,48,1,2026-06-17,2026-06-18,38.40202378635559,1,48,True,1,235,235,235,3,0,4,True,True,False,True,True,WATCHED8_TRANSITION,2,921.3907083252245
66,2026-06-18,Texas | Daily 4 Evening,2026-06-17,0024,0024,,024,,024,027,079,389,ALL_BALANCED,36.17002030305433,12.0,0.75,1.4661,237.0,171.0,36.17002030305433,True,2,72,2,2026-06-17,2026-06-18,36.17002030305433,2,72,True,1,024,024,024,2,0,4,True,False,False,True,True,STREAM_AFFINITY,4,518.559507106069
62,2026-06-18,Tennessee | Cash 4 Evening,2026-06-17,0676,0676,,067,,067,247,169,389,ALL_BALANCED,35.73211952671954,11.0,0.8095,1.5717,206.0,155.0,35.73211952671954,True,1,76,1,2026-06-17,2026-06-18,35.73211952671954,1,76,True,1,067,067,067,0,0,5,True,False,False,True,True,STREAM_AFFINITY,4,514.9562418343519
63,2026-06-18,Tennessee | Cash 4 Midday,2026-06-17,6908,6908,,,,239,238,078,067,ALL_BALANCED,33.57395406781066,11.0,0.7895,1.6283,171.0,127.0,33.57395406781066,True,5,97,5,2026-06-17,2026-06-18,33.57395406781066,5,97,True,1,,239,,0,0,3,True,False,False,False,True,TOP4_NORMAL,3,613.0008839237337
3,2026-06-18,Arkansas | Cash 4 Midday,2026-06-17,8247,8247,,,,127,148,017,679,ALL_BALANCED,32.05241047396579,10.0,0.9091,1.7023,134.0,107.0,32.05241047396579,True,1,113,1,2026-06-17,2026-06-18,32.05241047396579,1,113,True,1,,127,,0,0,3,True,False,False,False,True,TOP4_NORMAL,3,612.6683436658881
23,2026-06-18,Kentucky | Pick 4 Evening,2026-06-17,6502,6502,,,,026,068,027,067,ALL_BALANCED,31.60457894343184,10.0,0.7917,1.588,194.0,142.0,31.60457894343184,True,2,126,2,2026-06-17,2026-06-18,31.60457894343184,2,126,True,1,,026,,0,0,4,True,False,False,True,True,STREAM_AFFINITY,4,512.9616026302011
23,2026-06-18,Kentucky | Pick 4 Evening,2026-06-17,6502,6502,,,,026,068,027,027,ALL_BALANCED,31.368607385720637,10.0,0.75,1.5089,206.0,149.0,31.368607385720637,True,3,132,3,2026-06-17,2026-06-18,31.368607385720637,3,132,True,2,,026,,0,0,4,True,False,False,True,True,STREAM_AFFINITY,4,512.8290125850023
55,2026-06-18,Puerto Rico | Pega 4 Día,2026-06-17,8862,8862,,268,,268,179,467,067,ALL_BALANCED,31.353464857283946,10.0,0.9091,1.7965,129.0,99.0,31.353464857283946,True,6,133,6,2026-06-17,2026-06-18,31.353464857283946,6,133,True,1,268,268,268,2,0,4,True,False,False,True,True,STREAM_AFFINITY,4,516.6737127000495
68,2026-06-18,Texas | Daily 4 Night,2026-06-17,8850,8850,,058,,058,179,478,389,ALL_BALANCED,30.79808587574876,10.0,0.8095,1.5717,161.0,121.0,30.79808587574876,True,2,144,2,2026-06-17,2026-06-18,30.79808587574876,2,144,True,1,058,058,058,3,0,7,True,True,False,True,True,WATCHED8_TRANSITION,2,920.1793300565121
69,2026-06-18,"Tri-State (ME, NH & VT) | Pick 4 Day",2026-06-17,4947,4947,,479,,479,037,458,567,ALL_BALANCED,30.281393282042607,10.0,0.8182,1.7231,150.0,109.0,30.281393282042607,True,5,154,5,2026-06-17,2026-06-18,30.281393282042607,5,154,True,1,479,479,479,1,0,4,True,False,False,True,True,STREAM_AFFINITY,4,514.3484876487149
