core_str,candidate_rank,rule_type,rule,sample_size,sample_tier,hit_count,hit_rate_pct,baseline_rate_pct,relative_lift_x,lift_pct_points,confidence_score,meets_signal_floor
027,39,stream_core,StreamKey==Atlantic Canada | Lotto 4 -> core 027,1235,STRONG_STABLE_250_PLUS,11,0.891,0.361,2.468,0.53,0.01173,True
027,81,stream_core,StreamKey==Wisconsin | Pick 4 Midday -> core 027,1232,STRONG_STABLE_250_PLUS,10,0.812,0.361,2.249,0.451,0.008778,True
027,84,stream_core,StreamKey==Florida | Pick 4 Evening -> core 027,1233,STRONG_STABLE_250_PLUS,10,0.811,0.361,2.247,0.45,0.008751,True
027,121,seed_trait_core,seed_highlow==LHHH -> core 027,5738,STRONG_STABLE_250_PLUS,36,0.627,0.361,1.739,0.267,0.006049,True
027,372,stream_seed_trait_core,StreamKey==Ontario | Pick 4 Evening AND seed_highlow==HLLL -> core 027,63,CANDIDATE_50_99,3,4.762,0.361,13.195,4.401,0.054909,False
027,477,stream_seed_trait_core,StreamKey==Virginia | Pick 4 Night AND seed_parity==EEEO -> core 027,70,CANDIDATE_50_99,3,4.286,0.361,11.876,3.925,0.048971,False
027,478,stream_seed_trait_core,StreamKey==Québec | Quotidienne 4 AND seed_highlow==HHHH -> core 027,70,CANDIDATE_50_99,3,4.286,0.361,11.876,3.925,0.048971,False
027,538,stream_seed_trait_core,StreamKey==Connecticut | Play 4 Day AND seed_highlow==LLHH -> core 027,72,CANDIDATE_50_99,3,4.167,0.361,11.546,3.806,0.047486,False
027,718,stream_seed_trait_core,StreamKey==Connecticut | Play 4 Night AND seed_parity==OOOO -> core 027,77,CANDIDATE_50_99,3,3.896,0.361,10.796,3.535,0.044106,False
027,798,stream_seed_trait_core,StreamKey==Atlantic Canada | Lotto 4 AND seed_highlow==LLLL -> core 027,79,CANDIDATE_50_99,3,3.797,0.361,10.523,3.437,0.042882,False
027,906,stream_seed_trait_core,StreamKey==Wisconsin | Pick 4 Midday AND seed_highlow==LHHH -> core 027,82,CANDIDATE_50_99,3,3.659,0.361,10.138,3.298,0.041149,False
027,907,stream_seed_trait_core,StreamKey==Wisconsin | Pick 4 Midday AND seed_highlow==LHLH -> core 027,82,CANDIDATE_50_99,3,3.659,0.361,10.138,3.298,0.041149,False
027,908,stream_seed_trait_core,StreamKey==Atlantic Canada | Lotto 4 AND seed_spread_bucket==spread_0_2 -> core 027,82,CANDIDATE_50_99,3,3.659,0.361,10.138,3.298,0.041149,False
