core_str,SameCoreGapBucket,sample_size,hit_count,hit_rate_pct,baseline_rate_pct,relative_lift_x,lift_pct_points,confidence_score,sample_tier,meets_signal_floor,usable_cadence_signal
027,gap_008_014,961,12,1.249,0.361,3.46,0.888,0.028441,STRONG_STABLE_250_PLUS,True,True
027,gap_015_030,1968,22,1.118,0.361,3.098,0.757,0.026534,STRONG_STABLE_250_PLUS,True,True
027,gap_121_plus,17552,149,0.849,0.361,2.352,0.488,0.020757,STRONG_STABLE_250_PLUS,True,True
027,first_seen,9170,76,0.829,0.361,2.297,0.468,0.016848,STRONG_STABLE_250_PLUS,True,True
027,gap_061_120,5694,44,0.773,0.361,2.141,0.412,0.012119,STRONG_STABLE_250_PLUS,True,True
027,gap_001_007,977,9,0.921,0.361,2.553,0.56,0.01069,STRONG_STABLE_250_PLUS,False,False
027,gap_031_060,3410,23,0.674,0.361,1.869,0.314,0.006731,STRONG_STABLE_250_PLUS,True,False
067,gap_061_120,5694,55,0.966,0.36,2.685,0.606,0.023563,STRONG_STABLE_250_PLUS,True,True
067,gap_031_060,3410,34,0.997,0.36,2.771,0.637,0.022581,STRONG_STABLE_250_PLUS,True,True
067,gap_121_plus,17552,146,0.832,0.36,2.312,0.472,0.019593,STRONG_STABLE_250_PLUS,True,True
067,first_seen,9170,77,0.84,0.36,2.334,0.48,0.01756,STRONG_STABLE_250_PLUS,True,True
067,gap_001_007,977,9,0.921,0.36,2.56,0.561,0.010709,STRONG_STABLE_250_PLUS,False,False
067,gap_008_014,961,6,0.624,0.36,1.735,0.265,0.001932,STRONG_STABLE_250_PLUS,False,False
067,gap_015_030,1968,7,0.356,0.36,0.989,-0.004,0.0,STRONG_STABLE_250_PLUS,False,False
138,gap_031_060,3410,35,1.026,0.351,2.923,0.675,0.024827,STRONG_STABLE_250_PLUS,True,True
138,gap_121_plus,17552,147,0.838,0.351,2.385,0.486,0.02034,STRONG_STABLE_250_PLUS,True,True
138,first_seen,9170,76,0.829,0.351,2.36,0.478,0.017208,STRONG_STABLE_250_PLUS,True,True
138,gap_015_030,1968,18,0.915,0.351,2.604,0.563,0.015162,STRONG_STABLE_250_PLUS,True,True
138,gap_061_120,5694,40,0.702,0.351,2.0,0.351,0.009157,STRONG_STABLE_250_PLUS,True,True
138,gap_008_014,961,5,0.52,0.351,1.482,0.169,0.000788,STRONG_STABLE_250_PLUS,False,False
138,gap_001_007,977,5,0.512,0.351,1.457,0.161,0.000738,STRONG_STABLE_250_PLUS,False,False
145,gap_121_plus,17552,149,0.849,0.347,2.447,0.502,0.021353,STRONG_STABLE_250_PLUS,True,True
145,first_seen,9170,77,0.84,0.347,2.421,0.493,0.018035,STRONG_STABLE_250_PLUS,True,True
145,gap_061_120,5694,47,0.825,0.347,2.38,0.479,0.015306,STRONG_STABLE_250_PLUS,True,True
145,gap_031_060,3410,24,0.704,0.347,2.029,0.357,0.008088,STRONG_STABLE_250_PLUS,True,True
145,gap_001_007,977,8,0.819,0.347,2.361,0.472,0.006794,STRONG_STABLE_250_PLUS,False,False
145,gap_008_014,961,7,0.728,0.347,2.1,0.382,0.00405,STRONG_STABLE_250_PLUS,False,False
145,gap_015_030,1968,10,0.508,0.347,1.465,0.161,0.001962,STRONG_STABLE_250_PLUS,False,False
389,gap_061_120,5694,66,1.159,0.405,2.862,0.754,0.036748,STRONG_STABLE_250_PLUS,True,True
389,gap_001_007,977,13,1.331,0.405,3.285,0.926,0.032517,STRONG_STABLE_250_PLUS,True,True
389,gap_015_030,1968,22,1.118,0.405,2.76,0.713,0.024992,STRONG_STABLE_250_PLUS,True,True
389,gap_031_060,3410,35,1.026,0.405,2.534,0.621,0.022841,STRONG_STABLE_250_PLUS,True,True
389,gap_121_plus,17552,156,0.889,0.405,2.194,0.484,0.021751,STRONG_STABLE_250_PLUS,True,True
389,first_seen,9170,78,0.851,0.405,2.1,0.446,0.016576,STRONG_STABLE_250_PLUS,True,True
389,gap_008_014,961,6,0.624,0.405,1.541,0.219,0.001596,STRONG_STABLE_250_PLUS,False,False
457,gap_121_plus,17552,169,0.963,0.392,2.456,0.571,0.028236,STRONG_STABLE_250_PLUS,True,True
457,gap_061_120,5694,57,1.001,0.392,2.553,0.609,0.024754,STRONG_STABLE_250_PLUS,True,True
457,gap_031_060,3410,32,0.938,0.392,2.393,0.546,0.017915,STRONG_STABLE_250_PLUS,True,True
457,first_seen,9170,78,0.851,0.392,2.169,0.458,0.017022,STRONG_STABLE_250_PLUS,True,True
457,gap_008_014,961,8,0.832,0.392,2.123,0.44,0.006438,STRONG_STABLE_250_PLUS,False,False
457,gap_015_030,1968,13,0.661,0.392,1.685,0.268,0.004672,STRONG_STABLE_250_PLUS,True,False
457,gap_001_007,977,7,0.716,0.392,1.827,0.324,0.003379,STRONG_STABLE_250_PLUS,False,False
567,gap_061_120,5694,55,0.966,0.355,2.717,0.61,0.023718,STRONG_STABLE_250_PLUS,True,True
567,gap_121_plus,17552,142,0.809,0.355,2.276,0.454,0.018228,STRONG_STABLE_250_PLUS,True,True
567,first_seen,9170,76,0.829,0.355,2.331,0.473,0.017028,STRONG_STABLE_250_PLUS,True,True
567,gap_031_060,3410,27,0.792,0.355,2.227,0.436,0.011503,STRONG_STABLE_250_PLUS,True,True
567,gap_015_030,1968,16,0.813,0.355,2.287,0.458,0.01055,STRONG_STABLE_250_PLUS,True,True
567,gap_008_014,961,8,0.832,0.355,2.342,0.477,0.00698,STRONG_STABLE_250_PLUS,False,False
567,gap_001_007,977,6,0.614,0.355,1.728,0.259,0.001857,STRONG_STABLE_250_PLUS,False,False
679,gap_015_030,1968,23,1.169,0.379,3.082,0.79,0.029342,STRONG_STABLE_250_PLUS,True,True
679,gap_061_120,5694,60,1.054,0.379,2.779,0.675,0.02924,STRONG_STABLE_250_PLUS,True,True
679,gap_121_plus,17552,151,0.86,0.379,2.269,0.481,0.020789,STRONG_STABLE_250_PLUS,True,True
679,first_seen,9170,78,0.851,0.379,2.243,0.471,0.017505,STRONG_STABLE_250_PLUS,True,True
679,gap_031_060,3410,28,0.821,0.379,2.165,0.442,0.012221,STRONG_STABLE_250_PLUS,True,True
679,gap_001_007,977,7,0.716,0.379,1.889,0.337,0.003515,STRONG_STABLE_250_PLUS,False,False
679,gap_008_014,961,5,0.52,0.379,1.372,0.141,0.000657,STRONG_STABLE_250_PLUS,False,False
