StreamKey,core_str,member_str,opportunity_count,exact_member_hits,core_hits,exact_hit_rate_pct,core_hit_rate_pct,top1_count,top2_count,top3_count,top1_share_pct,avg_best_member_rank,avg_member_score,max_member_score,avg_matrix_final_score,avg_streamrank_score,avg_core_rank_within_stream,avg_stream_rank_within_core,exact_pair_score,sample_tier,usable_exact_pair_signal,source,source_window_start,source_window_end,formula
Arizona | Pick 4 Evening,027,0027,2,0,0,0.0,0.0,1,1,0,50.0,1.5,242.333936,255.544549,432.993858,432.993858,83.0,48.0,5.118635,SMALL_UNDER25,False,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Arizona | Pick 4 Evening,027,0277,2,0,0,0.0,0.0,1,0,1,50.0,2.0,222.037648,236.566742,432.993858,432.993858,83.0,48.0,4.476407,SMALL_UNDER25,False,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Arizona | Pick 4 Midday,027,0227,1,0,0,0.0,0.0,1,0,0,100.0,1.0,252.987614,252.987614,447.980287,447.980287,33.0,1.0,4.853826,SMALL_UNDER25,False,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Arizona | Pick 4 Midday,027,0027,2,0,0,0.0,0.0,1,0,1,50.0,2.0,244.942851,247.136455,442.653007,442.653007,55.0,19.5,4.568252,SMALL_UNDER25,False,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Arizona | Pick 4 Midday,027,0277,2,0,0,0.0,0.0,0,1,1,0.0,2.5,230.906467,250.053027,442.653007,442.653007,55.0,19.5,2.818261,SMALL_UNDER25,False,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Arkansas | Cash 4 Evening,027,0027,147,1,1,0.680272,0.680272,84,52,11,57.142857,1.503401,235.287974,283.862966,433.215444,433.215444,52.62585,37.809524,23.672691,STRONG_100_PLUS,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Arkansas | Cash 4 Evening,027,0277,148,0,1,0.0,0.675676,68,47,33,45.945946,1.763514,229.728031,266.968149,432.898062,432.898062,52.385135,37.898649,16.65181,STRONG_100_PLUS,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Arkansas | Cash 4 Evening,027,0227,33,0,0,0.0,0.0,3,12,18,9.090909,2.454545,221.141229,255.770193,434.236156,434.236156,54.787879,39.181818,10.726113,STABLE_25_99,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Arkansas | Cash 4 Midday,027,0027,129,0,0,0.0,0.0,84,36,9,65.116279,1.418605,238.587428,300.091218,434.059499,434.059499,63.372093,36.658915,19.584168,STRONG_100_PLUS,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Arkansas | Cash 4 Midday,027,0277,125,0,0,0.0,0.0,45,44,36,36.0,1.928,226.787696,275.709562,433.247917,433.247917,64.608,38.264,15.058332,STRONG_100_PLUS,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Arkansas | Cash 4 Midday,027,0227,27,0,0,0.0,0.0,4,8,15,14.814815,2.407407,224.736917,255.870588,439.899947,439.899947,58.0,25.185185,11.431848,STABLE_25_99,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
Atlantic Canada | Lotto 4,027,0027,152,0,0,0.0,0.0,92,49,11,60.526316,1.467105,236.136555,301.796376,443.861762,443.861762,8.006579,16.125,19.009895,STRONG_100_PLUS,True,FULL_MATRIX_STREAM_CORE_MEMBER_SCORER_V1_2_1DATE_2026_06_25_TOP1_TOP2_TOP3_BOXED,2026-01-14,2026-06-17,"derived exact_pair_score=(exact_rate*1.25)+(core_rate*0.15)+(top1_share*0.08)+(max(0,4-avg_rank)*4)+(avg_member_score/75)+(avg_matrix_final/500)+log1p(exact_hits)*6; multiplied by sqrt(opportunity/25) capped at 1"
