core_str,core_id,member_str,member_hits,core_hits,matrix_slot,member_share_pct
027,27,0227,109,335,middle_candidate,32.537
027,27,0027,120,335,strongest_candidate,35.821
027,27,0277,106,335,suppressed_candidate,31.642
067,67,0667,110,334,middle_candidate,32.934
067,67,0677,116,334,strongest_candidate,34.731
067,67,0067,108,334,suppressed_candidate,32.335
138,138,1338,110,326,middle_candidate,33.742
138,138,1388,111,326,strongest_candidate,34.049
138,138,1138,105,326,suppressed_candidate,32.209
145,145,1445,106,322,middle_candidate,32.919
145,145,1455,113,322,strongest_candidate,35.093
145,145,1145,103,322,suppressed_candidate,31.988
389,389,3389,128,376,middle_candidate,34.043
389,389,3899,130,376,strongest_candidate,34.574
389,389,3889,118,376,suppressed_candidate,31.383
457,457,4457,122,364,middle_candidate,33.516
457,457,4557,126,364,strongest_candidate,34.615
457,457,4577,116,364,suppressed_candidate,31.868
567,567,5677,106,330,middle_candidate,32.121
567,567,5667,119,330,strongest_candidate,36.061
567,567,5567,105,330,suppressed_candidate,31.818
679,679,6779,117,352,middle_candidate,33.239
679,679,6679,121,352,strongest_candidate,34.375
679,679,6799,114,352,suppressed_candidate,32.386
