core_str,trait_name,trait_value,sample_size,hit_count,hit_rate_pct,baseline_rate_pct,relative_lift_x,lift_pct_points,confidence_score,sample_tier,meets_signal_floor,usable_broad_seed_signal,usable_tiebreak_seed_signal
027,seed_highlow,LHHH,5738,36,0.627,0.361,1.739,0.267,0.006049,STRONG_STABLE_250_PLUS,True,True,True
027,Month,10,7027,35,0.498,0.361,1.38,0.137,0.002445,STRONG_STABLE_250_PLUS,False,True,False
027,seed_parity,OEOE,5816,29,0.499,0.361,1.382,0.138,0.00234,STRONG_STABLE_250_PLUS,False,True,False
027,seed_consec_links,2,7412,36,0.486,0.361,1.346,0.125,0.002192,STRONG_STABLE_250_PLUS,False,True,False
027,Month,12,6997,33,0.472,0.361,1.307,0.111,0.001846,STRONG_STABLE_250_PLUS,False,True,False
027,seed_sum_end,2,9259,42,0.454,0.361,1.257,0.093,0.001587,STRONG_STABLE_250_PLUS,False,True,False
027,seed_parity,EOOO,5715,26,0.455,0.361,1.261,0.094,0.001409,STRONG_STABLE_250_PLUS,False,True,False
067,seed_sum_end,9,9295,48,0.516,0.36,1.435,0.157,0.003155,STRONG_STABLE_250_PLUS,False,True,True
067,seed_parity,OEOO,5849,30,0.513,0.36,1.426,0.153,0.002695,STRONG_STABLE_250_PLUS,False,True,True
067,seed_parity,EEEO,5650,29,0.513,0.36,1.427,0.153,0.002671,STRONG_STABLE_250_PLUS,False,True,True
067,seed_highlow,LHHH,5738,28,0.488,0.36,1.356,0.128,0.002103,STRONG_STABLE_250_PLUS,False,True,False
067,seed_sum_mod5,4,18674,86,0.461,0.36,1.28,0.101,0.002077,STRONG_STABLE_250_PLUS,False,True,False
067,seed_highlow,HHHL,5782,28,0.484,0.36,1.346,0.124,0.002022,STRONG_STABLE_250_PLUS,False,True,False
067,DayOfWeek,Friday,13515,62,0.459,0.36,1.275,0.099,0.001882,STRONG_STABLE_250_PLUS,False,True,False
067,seed_highlow,HLLH,5763,26,0.451,0.36,1.254,0.091,0.001353,STRONG_STABLE_250_PLUS,False,True,False
138,Month,05,9337,47,0.503,0.351,1.433,0.152,0.002962,STRONG_STABLE_250_PLUS,False,True,True
